Year,Distance,Engine_capacity(cm3),Age,km_year
2007,360000.0,2000.0,15,24000.0
2017,69000.0,2000.0,5,13800.0
2010,230000.0,3600.0,12,19166.666666666668
2011,184300.0,1300.0,11,16754.545454545456
2010,437648.0,2400.0,12,36470.66666666666
2013,101000.0,2500.0,9,11222.222222222224
2015,35762.0,3000.0,7,5108.857142857143
2018,22656.0,1500.0,4,5664.0
2016,180000.0,1800.0,6,30000.0
2006,200000.0,1700.0,16,12500.0
1996,320000.0,1800.0,26,12307.692307692309
2009,78805.0,2500.0,13,6061.923076923077
2014,166000.0,1400.0,8,20750.0
2007,270000.0,2400.0,15,18000.0
2010,187000.0,1400.0,12,15583.333333333334
1996,111111.0,2000.0,26,4273.5
2010,195000.0,1995.0,12,16250.0
2018,100000.0,1500.0,4,25000.0
2016,1360.0,1800.0,6,226.66666666666663
2011,155000.0,1200.0,11,14090.90909090909
2016,127000.0,2000.0,6,21166.666666666668
2010,161456.0,1400.0,12,13454.666666666666
2013,82000.0,2000.0,9,9111.111111111111
2019,15000.0,1300.0,3,5000.0
2017,79403.0,1800.0,5,15880.6
2021,6900.0,2000.0,1,6900.0
2003,236643.0,2500.0,19,12454.894736842103
2002,200000.0,1900.0,20,10000.0
2004,230000.0,2000.0,18,12777.777777777776
2000,338000.0,2700.0,22,15363.636363636364
2012,122240.0,2400.0,10,12224.0
2014,101141.0,2000.0,8,12642.625
2020,9407.0,2500.0,2,4703.5
2003,180000.0,3000.0,19,9473.684210526317
2018,29320.0,3000.0,4,7330.0
2006,190000.0,1600.0,16,11875.0
2014,69807.0,1600.0,8,8725.875
2012,279682.0,2200.0,10,27968.2
2013,147000.0,2201.0,9,16333.333333333334
2008,162000.0,1400.0,14,11571.42857142857
2013,231308.0,1500.0,9,25700.88888888889
2005,198000.0,1400.0,17,11647.058823529413
2013,201267.0,1461.0,9,22363.0
2012,138000.0,2231.0,10,13800.0
2013,188000.0,2000.0,9,20888.88888888889
2015,197000.0,1500.0,7,28142.85714285714
2006,200000.0,1390.0,16,12500.0
2015,44000.0,1200.0,7,6285.714285714285
2007,193883.0,2000.0,15,12925.533333333333
2010,177155.0,1500.0,12,14762.916666666666
2007,195000.0,2000.0,15,13000.0
2010,190401.0,2000.0,12,15866.75
1991,80000.0,1400.0,31,2580.6451612903224
2012,275500.0,2200.0,10,27550.0
2016,167315.0,2500.0,6,27885.83333333333
2017,162582.0,1200.0,5,32516.4
2014,1111.0,1212.0,8,138.875
2014,198000.0,2200.0,8,24750.0
2009,288000.0,1998.0,13,22153.846153846152
2001,21689.0,1451.0,21,1032.809523809524
2013,190000.0,1500.0,9,21111.11111111111
2011,167000.0,1500.0,11,15181.818181818182
2003,300000.0,1400.0,19,15789.473684210529
2008,311000.0,1998.0,14,22214.285714285717
2008,260432.0,4500.0,14,18602.285714285717
1979,50000.0,1500.0,43,1162.7906976744189
2012,144211.0,1400.0,10,14421.1
2008,125000.0,2000.0,14,8928.57142857143
2013,151000.0,2200.0,9,16777.777777777777
2005,208702.0,3500.0,17,12276.588235294115
1999,187600.0,4600.0,23,8156.521739130435
2016,223000.0,1461.0,6,37166.66666666666
1998,201460.0,1800.0,24,8394.166666666666
2013,122000.0,2500.0,9,13555.555555555557
2009,200000.0,1412.0,13,15384.615384615385
2017,37000.0,1600.0,5,7400.0
2005,270000.0,2998.0,17,15882.35294117647
2008,180000.0,2000.0,14,12857.142857142857
2007,260000.0,2500.0,15,17333.333333333332
2009,123400.0,1500.0,13,9492.307692307691
2008,169000.0,1390.0,14,12071.42857142857
2018,42000.0,4000.0,4,10500.0
2000,219000.0,2000.0,22,9954.545454545454
2004,205000.0,1500.0,18,11388.888888888889
2012,199999.0,1800.0,10,19999.9
2012,74000.0,1800.0,10,7400.0
2014,136000.0,3000.0,8,17000.0
2003,230000.0,1800.0,19,12105.263157894737
2017,136000.0,2000.0,5,27200.0
2011,329000.0,2200.0,11,29909.090909090908
2016,141200.0,1598.0,6,23533.33333333333
2010,180000.0,2000.0,12,15000.0
2007,265709.0,1249.0,15,17713.933333333334
2006,310000.0,2200.0,16,19375.0
2007,220000.0,2000.0,15,14666.666666666666
2012,89000.0,3000.0,10,8900.0
2013,85000.0,1600.0,9,9444.444444444443
1982,179952.0,1600.0,40,4498.8
2007,190000.0,3000.0,15,12666.666666666666
2015,69000.0,2000.0,7,9857.142857142857
2013,200000.0,1200.0,9,22222.222222222223
1993,347000.0,1700.0,29,11965.51724137931
2005,277000.0,3000.0,17,16294.117647058823
2006,200000.0,200.0,16,12500.0
2009,71000.0,1000.0,13,5461.538461538462
1991,400000.0,200.0,31,12903.225806451614
2003,11111.0,200.0,19,584.7894736842105
1996,347000.0,1324.0,26,13346.153846153846
1998,306000.0,1998.0,24,12750.0
2009,186000.0,1400.0,13,14307.692307692309
2011,176200.0,1400.0,11,16018.181818181818
2001,215000.0,2000.0,21,10238.09523809524
2014,133000.0,1600.0,8,16625.0
2015,140000.0,2500.0,7,20000.0
2001,410100.0,1800.0,21,19528.571428571428
2008,259000.0,1600.0,14,18500.0
2002,300000.0,1998.0,20,15000.0
2008,200000.0,2400.0,14,14285.714285714286
1999,334210.0,1999.0,23,14530.869565217392
1995,250369.0,1800.0,27,9272.925925925923
2010,75000.0,1798.0,12,6250.0
2014,56000.0,1400.0,8,7000.0
2009,180000.0,3000.0,13,13846.153846153846
1993,80000.0,1300.0,29,2758.620689655173
2012,206000.0,2200.0,10,20600.0
2012,210000.0,1362.0,10,21000.0
2016,128200.0,1500.0,6,21366.666666666668
2010,146000.0,1994.0,12,12166.666666666666
2017,28378.0,1700.0,5,5675.6
2003,300000.0,2000.0,19,15789.473684210529
2013,177300.0,1461.0,9,19700.0
2004,204409.0,1400.0,18,11356.055555555557
2015,118000.0,1500.0,7,16857.14285714286
2009,240000.0,1500.0,13,18461.53846153846
2014,217000.0,2000.0,8,27125.0
2014,45000.0,1800.0,8,5625.0
2006,294000.0,2400.0,16,18375.0
2017,165000.0,1400.0,5,33000.0
2014,81700.0,1800.0,8,10212.5
2016,50000.0,1950.0,6,8333.333333333334
1996,220000.0,1400.0,26,8461.538461538461
1998,250000.0,2300.0,24,10416.666666666666
2011,123000.0,1400.0,11,11181.818181818182
2017,143143.0,1500.0,5,28628.6
2011,156000.0,1300.0,11,14181.818181818182
2005,250000.0,1560.0,17,14705.882352941177
2008,230000.0,1900.0,14,16428.571428571428
1997,320000.0,1800.0,25,12800.0
2005,280000.0,3000.0,17,16470.58823529412
1994,214000.0,1400.0,28,7642.857142857143
2016,198000.0,2000.0,6,33000.0
1989,234432.0,1400.0,33,7104.0
2003,199000.0,2000.0,19,10473.684210526317
2005,304000.0,3000.0,17,17882.352941176472
2014,220000.0,1597.0,8,27500.0
2020,8678.0,2000.0,2,4339.0
2014,248000.0,2500.0,8,31000.0
2002,148800.0,1600.0,20,7440.0
2011,196236.0,2000.0,11,17839.636363636364
2019,46000.0,1598.0,3,15333.333333333334
2007,270000.0,1500.0,15,18000.0
2014,171000.0,1598.0,8,21375.0
2012,98074.0,1999.0,10,9807.4
1997,350000.0,1600.0,25,14000.0
2006,161000.0,1400.0,16,10062.5
2016,181000.0,2000.0,6,30166.666666666668
2016,159000.0,1500.0,6,26500.0
2014,80679.0,1600.0,8,10084.875
2012,166000.0,1798.0,10,16600.0
2015,91421.0,3000.0,7,13060.142857142857
2005,230000.0,1400.0,17,13529.411764705885
2009,169900.0,1998.0,13,13069.23076923077
2006,184000.0,2700.0,16,11500.0
2007,250000.0,1400.0,15,16666.666666666668
2015,163000.0,1500.0,7,23285.714285714286
2000,53200.0,1300.0,22,2418.181818181818
1998,400000.0,2800.0,24,16666.666666666668
2002,240000.0,2926.0,20,12000.0
2011,112250.0,1200.0,11,10204.545454545454
1993,350000.0,2000.0,29,12068.96551724138
2005,232000.0,1600.0,17,13647.058823529413
2016,77000.0,2000.0,6,12833.333333333334
2017,152990.0,1500.0,5,30598.0
2010,240000.0,220.0,12,20000.0
2006,418000.0,2200.0,16,26125.0
2001,330000.0,1993.0,21,15714.285714285714
2012,145000.0,2000.0,10,14500.0
2002,176100.0,4400.0,20,8805.0
2010,175165.0,1500.0,12,14597.083333333334
2012,150000.0,2500.0,10,15000.0
2003,239200.0,2000.0,19,12589.473684210529
2019,6000.0,2000.0,3,2000.0
2007,20000.0,2400.0,15,1333.3333333333333
2012,115000.0,200.0,10,11500.0
2013,199000.0,1400.0,9,22111.11111111111
2009,180000.0,1397.0,13,13846.153846153846
2002,424126.0,1994.0,20,21206.3
1999,330000.0,1900.0,23,14347.826086956522
2005,136000.0,1400.0,17,8000.0
2016,93465.0,2000.0,6,15577.5
2013,170000.0,2200.0,9,18888.88888888889
1995,351234.0,2200.0,27,13008.666666666666
2008,270000.0,2200.0,14,19285.714285714286
2009,85000.0,1400.0,13,6538.461538461538
2015,181000.0,1800.0,7,25857.14285714286
2012,154000.0,1400.0,10,15400.0
2017,150000.0,1500.0,5,30000.0
2009,139200.0,1794.0,13,10707.692307692309
2017,83000.0,2442.0,5,16600.0
2011,157000.0,1200.0,11,14272.727272727272
2011,167000.0,1800.0,11,15181.818181818182
2009,189962.0,1400.0,13,14612.46153846154
