Year,Distance,Engine_capacity(cm3),Price(euro),Age,km_year
2014,210000.0,1500.0,7199.0,8,26250.0
2015,159000.0,1996.0,20500.0,7,22714.285714285714
2013,172000.0,1461.0,6299.0,9,19111.11111111111
2019,19000.0,2500.0,30000.0,3,6333.333333333333
2015,155000.0,1996.0,27800.0,7,22142.85714285714
2016,64000.0,1798.0,16000.0,6,10666.666666666666
2011,174000.0,1461.0,4550.0,11,15818.181818181818
2010,187000.0,1400.0,6500.0,12,15583.333333333334
2007,235000.0,1500.0,5400.0,15,15666.666666666666
2017,92000.0,2993.0,45000.0,5,18400.0
2014,180000.0,1600.0,5800.0,8,22500.0
2011,125000.0,1300.0,3750.0,11,11363.636363636364
2013,192000.0,2200.0,17500.0,9,21333.333333333332
1995,300000.0,2000.0,2500.0,27,11111.111111111111
2007,240000.0,1400.0,3750.0,15,16000.0
2015,161000.0,2000.0,18000.0,7,23000.0
2014,230000.0,2200.0,13000.0,8,28750.0
2015,152000.0,1600.0,10300.0,7,21714.285714285714
2006,312000.0,2500.0,7800.0,16,19500.0
2002,251000.0,2499.0,4650.0,20,12550.0
2019,50000.0,2200.0,37000.0,3,16666.666666666668
2009,180000.0,1400.0,5300.0,13,13846.153846153846
2007,226000.0,1400.0,5500.0,15,15066.666666666666
2004,200000.0,1800.0,6500.0,18,11111.111111111111
2012,163500.0,200.0,14200.0,10,16350.0
2013,133000.0,1798.0,10000.0,9,14777.777777777777
2013,131000.0,1400.0,8500.0,9,14555.555555555555
2006,368000.0,1300.0,3650.0,16,23000.0
2006,180000.0,300.0,6000.0,16,11250.0
2011,160000.0,1200.0,4999.0,11,14545.454545454546
2016,161024.0,2200.0,26950.0,6,26837.333333333332
2006,195000.0,1400.0,5400.0,16,12187.5
2015,124000.0,2000.0,11499.0,7,17714.285714285714
2003,330000.0,1400.0,4100.0,19,17368.42105263158
2005,21548.0,1400.0,2200.0,17,1267.5294117647059
2004,200000.0,1399.0,4200.0,18,11111.111111111111
2014,131000.0,2200.0,19900.0,8,16375.0
1998,268000.0,1800.0,2650.0,24,11166.666666666666
2014,128200.0,2200.0,17999.0,8,16025.0
2006,162000.0,2900.0,8490.0,16,10125.0
2012,211856.0,200.0,6000.0,10,21185.6
1998,98000.0,1000.0,900.0,24,4083.3333333333335
2015,73179.0,2500.0,14000.0,7,10454.142857142857
2012,88000.0,3000.0,14800.0,10,8800.0
2014,150300.0,2000.0,13200.0,8,18787.5
1996,460000.0,2200.0,1300.0,26,17692.30769230769
2015,139000.0,1461.0,12800.0,7,19857.14285714286
2006,360000.0,1300.0,2999.0,16,22500.0
2010,203000.0,2000.0,8250.0,12,16916.666666666668
1996,325000.0,1997.0,2200.0,26,12500.0
2014,202300.0,1598.0,13199.0,8,25287.5
2005,230000.0,4300.0,10000.0,17,13529.411764705883
2012,162200.0,1461.0,5899.0,10,16220.0
2018,146600.0,1600.0,12700.0,4,36650.0
2010,97000.0,1598.0,7700.0,12,8083.333333333333
2014,191000.0,1800.0,9700.0,8,23875.0
2018,60000.0,2500.0,20000.0,4,15000.0
2013,190000.0,1500.0,8500.0,9,21111.11111111111
2015,184000.0,1500.0,10999.0,7,26285.714285714286
2006,294000.0,2400.0,8500.0,16,18375.0
2010,164000.0,1400.0,7650.0,12,13666.666666666666
2011,122841.0,1800.0,11600.0,11,11167.363636363636
2008,172000.0,1399.0,4999.0,14,12285.714285714286
2005,230000.0,4300.0,10000.0,17,13529.411764705883
2012,162200.0,1461.0,5899.0,10,16220.0
2018,146600.0,1600.0,12700.0,4,36650.0
2010,97000.0,1598.0,7700.0,12,8083.333333333333
2014,191000.0,1800.0,9700.0,8,23875.0
2018,60000.0,2500.0,20000.0,4,15000.0
2013,190000.0,1500.0,8500.0,9,21111.11111111111
2015,184000.0,1500.0,10999.0,7,26285.714285714286
2006,294000.0,2400.0,8500.0,16,18375.0
2010,164000.0,1400.0,7650.0,12,13666.666666666666
2011,122841.0,1800.0,11600.0,11,11167.363636363636
2008,172000.0,1399.0,4999.0,14,12285.714285714286
2017,100000.0,2000.0,37000.0,5,20000.0
2009,235000.0,1400.0,6200.0,13,18076.923076923078
2012,256000.0,1300.0,4490.0,10,25600.0
2004,314000.0,3000.0,5650.0,18,17444.444444444445
2014,194000.0,1991.0,10000.0,8,24250.0
2012,67000.0,1500.0,7200.0,10,6700.0
2002,11111.0,3200.0,5200.0,20,555.55
2016,180000.0,2000.0,17450.0,6,30000.0
2017,135000.0,1462.0,15850.0,5,27000.0
2015,84000.0,1600.0,10900.0,7,12000.0
2002,280000.0,2000.0,3150.0,20,14000.0
2001,230000.0,1900.0,3500.0,21,10952.380952380952
2011,200123.0,2000.0,8200.0,11,18193.0
2000,264000.0,1400.0,2500.0,22,12000.0
2018,101000.0,2000.0,26000.0,4,25250.0
2008,92424.0,1600.0,3399.0,14,6601.714285714285
2007,230000.0,2999.0,19500.0,15,15333.333333333334
2013,122000.0,1385.0,4800.0,9,13555.555555555555
2007,335165.0,1986.0,6750.0,15,22344.333333333332
2017,175000.0,1462.0,16000.0,5,35000.0
2010,220000.0,2200.0,7500.0,12,18333.333333333332
2009,148000.0,2995.0,13000.0,13,11384.615384615385
2011,230000.0,1200.0,2800.0,11,20909.090909090908
2011,192000.0,1400.0,6800.0,11,17454.545454545456
2005,257000.0,3000.0,9000.0,17,15117.64705882353
2007,72000.0,1000.0,4400.0,15,4800.0
2012,240000.0,1500.0,6800.0,10,24000.0
2006,205000.0,2700.0,14800.0,16,12812.5
2017,176000.0,2000.0,19450.0,5,35200.0
2006,164274.0,1300.0,2999.0,16,10267.125
2008,179000.0,1400.0,7200.0,14,12785.714285714286
2002,230000.0,1400.0,950.0,20,11500.0
2016,125000.0,2993.0,52500.0,6,20833.333333333332
2001,278000.0,2000.0,2650.0,21,13238.095238095239
2004,200000.0,1600.0,3000.0,18,11111.111111111111
2011,202176.0,1500.0,6900.0,11,18379.636363636364
2009,265000.0,1800.0,5950.0,13,20384.615384615383
2011,244000.0,1600.0,9600.0,11,22181.81818181818
2016,188000.0,1422.0,7750.0,6,31333.333333333332
2011,207000.0,1500.0,7800.0,11,18818.18181818182
2018,33339.0,2000.0,20800.0,4,8334.75
2017,160000.0,1500.0,7200.0,5,32000.0
2008,230000.0,1800.0,7700.0,14,16428.571428571428
2000,303000.0,2000.0,3800.0,22,13772.727272727272
2012,111896.0,1200.0,3499.0,10,11189.6
2012,165000.0,1800.0,9200.0,10,16500.0
2015,169265.0,1800.0,12650.0,7,24180.714285714286
2007,172316.0,1400.0,2800.0,15,11487.733333333334
2016,184500.0,1500.0,15499.0,6,30750.0
2013,122000.0,3500.0,34000.0,9,13555.555555555555
2017,127000.0,2000.0,21990.0,5,25400.0
2007,193000.0,1988.0,7600.0,15,12866.666666666666
1996,256000.0,1800.0,2300.0,26,9846.153846153846
2013,162000.0,2400.0,15000.0,9,18000.0
2019,26000.0,1400.0,12990.0,3,8666.666666666666
2007,220000.0,1600.0,6500.0,15,14666.666666666666
2012,199000.0,2000.0,11800.0,10,19900.0
2014,216000.0,1600.0,10700.0,8,27000.0
2017,160000.0,1500.0,7200.0,5,32000.0
2008,230000.0,1800.0,7700.0,14,16428.571428571428
2000,303000.0,2000.0,3800.0,22,13772.727272727272
2012,111896.0,1200.0,3499.0,10,11189.6
2012,165000.0,1800.0,9200.0,10,16500.0
2015,169265.0,1800.0,12650.0,7,24180.714285714286
2007,172316.0,1400.0,2800.0,15,11487.733333333334
2016,184500.0,1500.0,15499.0,6,30750.0
2013,122000.0,3500.0,34000.0,9,13555.555555555555
2017,127000.0,2000.0,21990.0,5,25400.0
2007,193000.0,1988.0,7600.0,15,12866.666666666666
1996,256000.0,1800.0,2300.0,26,9846.153846153846
2013,162000.0,2400.0,15000.0,9,18000.0
2019,26000.0,1400.0,12990.0,3,8666.666666666666
2007,220000.0,1600.0,6500.0,15,14666.666666666666
2012,199000.0,2000.0,11800.0,10,19900.0
2014,216000.0,1600.0,10700.0,8,27000.0
2013,188000.0,1400.0,8800.0,9,20888.88888888889
2012,212700.0,1200.0,5450.0,10,21270.0
2005,270000.0,1800.0,3500.0,17,15882.35294117647
2013,60000.0,2000.0,12700.0,9,6666.666666666667
2005,178000.0,2989.0,9800.0,17,10470.588235294117
2011,90000.0,2200.0,13300.0,11,8181.818181818182
2014,143000.0,2000.0,11700.0,8,17875.0
2017,47000.0,3000.0,54000.0,5,9400.0
2008,230000.0,1800.0,7800.0,14,16428.571428571428
2007,194777.0,2000.0,5000.0,15,12985.133333333333
2008,200000.0,1900.0,5000.0,14,14285.714285714286
2016,144000.0,1800.0,12300.0,6,24000.0
1995,5000.0,2400.0,1700.0,27,185.1851851851852
2002,256000.0,2700.0,5500.0,20,12800.0
2005,193000.0,3000.0,11850.0,17,11352.941176470587
2006,250000.0,1300.0,4500.0,16,15625.0
2015,173000.0,1400.0,8600.0,7,24714.285714285714
2015,185000.0,2999.0,34000.0,7,26428.571428571428
2006,220000.0,2700.0,13500.0,16,13750.0
2018,95000.0,900.0,10500.0,4,23750.0
2011,169000.0,2200.0,13990.0,11,15363.636363636364
2012,200000.0,2000.0,11500.0,10,20000.0
2014,60000.0,2000.0,9900.0,8,7500.0
2009,276555.0,1595.0,9500.0,13,21273.46153846154
2005,227000.0,1600.0,4650.0,17,13352.941176470587
2003,230000.0,1800.0,4900.0,19,12105.263157894737
2010,150000.0,1400.0,6000.0,12,12500.0
2004,139000.0,1500.0,3700.0,18,7722.222222222223
2012,206000.0,2200.0,14399.0,10,20600.0
2013,77000.0,2500.0,27900.0,9,8555.555555555555
2014,139200.0,1490.0,7200.0,8,17400.0
2017,40000.0,2000.0,16999.0,5,8000.0
2016,185000.0,1500.0,13000.0,6,30833.333333333332
2015,157000.0,1400.0,13500.0,7,22428.571428571428
2011,1234.0,2000.0,9500.0,11,112.18181818181819
2013,145000.0,1200.0,8800.0,9,16111.111111111111
2013,177800.0,1400.0,8500.0,9,19755.555555555555
2006,247000.0,2200.0,2200.0,16,15437.5
2013,165000.0,3000.0,26800.0,9,18333.333333333332
2015,75000.0,2000.0,19000.0,7,10714.285714285714
2004,300000.0,2500.0,8000.0,18,16666.666666666668
2017,95000.0,1800.0,17999.0,5,19000.0
2000,222530.0,1600.0,3800.0,22,10115.0
2005,270000.0,2000.0,5700.0,17,15882.35294117647
2012,167000.0,1000.0,4999.0,10,16700.0
1995,345000.0,1800.0,2200.0,27,12777.777777777777
2014,212600.0,1400.0,6850.0,8,26575.0
2013,140000.0,1500.0,8500.0,9,15555.555555555555
2015,220000.0,2000.0,9990.0,7,31428.571428571428
2012,237000.0,2200.0,10490.0,10,23700.0
2016,153000.0,1500.0,9200.0,6,25500.0
2004,320000.0,1400.0,3800.0,18,17777.777777777777
2012,188000.0,2000.0,4500.0,10,18800.0
2015,215000.0,1500.0,4850.0,7,30714.285714285714
2006,218400.0,2000.0,7000.0,16,13650.0
2005,256983.0,1500.0,3150.0,17,15116.64705882353
2011,213548.0,2000.0,17250.0,11,19413.454545454544
2008,230000.0,1800.0,7800.0,14,16428.571428571428
2007,194777.0,2000.0,5000.0,15,12985.133333333333
2017,130212.0,2000.0,17499.0,5,26042.4
2014,148000.0,1500.0,7900.0,8,18500.0
2013,180000.0,1500.0,3000.0,9,20000.0
2014,107000.0,2998.0,37900.0,8,13375.0
2017,30100.0,1400.0,15500.0,5,6020.0
2012,230000.0,1800.0,10299.0,10,23000.0
2001,280000.0,1900.0,1900.0,21,13333.333333333334
2007,229000.0,2400.0,5600.0,15,15266.666666666666
2010,74000.0,1400.0,6500.0,12,6166.666666666667
2007,170000.0,1200.0,3450.0,15,11333.333333333334
1995,5000.0,2400.0,1700.0,27,185.1851851851852
1994,266000.0,2000.0,1700.0,28,9500.0
2016,1360.0,1800.0,11000.0,6,226.66666666666666
2006,250000.0,1300.0,4500.0,16,15625.0
2019,4000.0,1399.0,15000.0,3,1333.3333333333333
2005,400000.0,1900.0,4500.0,17,23529.41176470588
2008,200000.0,1900.0,5000.0,14,14285.714285714286
2016,144000.0,1800.0,12300.0,6,24000.0
2002,256000.0,2700.0,5500.0,20,12800.0
2005,193000.0,3000.0,11850.0,17,11352.941176470587
2018,28942.0,2000.0,27999.0,4,7235.5
2016,162000.0,2000.0,29999.0,6,27000.0
2015,112000.0,4950.0,24500.0,7,16000.0
2016,95000.0,1991.0,37000.0,6,15833.333333333334
2005,278000.0,1400.0,2850.0,17,16352.941176470587
1994,550000.0,1800.0,3000.0,28,19642.85714285714
2010,173000.0,1200.0,3200.0,12,14416.666666666666
2002,270000.0,2500.0,3990.0,20,13500.0
2010,190000.0,1800.0,8500.0,12,15833.333333333334
2019,33000.0,2000.0,18900.0,3,11000.0
2015,88000.0,2000.0,16950.0,7,12571.42857142857
2013,174600.0,1400.0,5650.0,9,19400.0
2008,130000.0,1200.0,4700.0,14,9285.714285714286
1996,250000.0,1400.0,1299.0,26,9615.384615384615
2008,180000.0,1500.0,4900.0,14,12857.142857142857
2009,264714.0,1400.0,3700.0,13,20362.615384615383
2015,125000.0,2000.0,12499.0,7,17857.14285714286
2015,196231.0,1400.0,7650.0,7,28033.0
1995,11111.0,1600.0,800.0,27,411.51851851851853
2005,125488.0,1400.0,2200.0,17,7381.64705882353
2018,72000.0,2000.0,26500.0,4,18000.0
2011,242337.0,1500.0,5650.0,11,22030.636363636364
2002,296852.0,1600.0,2500.0,20,14842.6
2015,76500.0,1600.0,12999.0,7,10928.57142857143
2007,169000.0,2200.0,4300.0,15,11266.666666666666
